Name,Rating,Comments,Sentiment,Contradictions
hallian555, 1 star ,"Average food with below average service ... people ho there just to enjoy the atmosphere provided by the location.... if it was for food only, I would never want to visit it",Positive, 1 star  Positive
Rabia M, 1 star ,quinoa salad was more like sweet porridge with veges. wouldn't recommend..,Positive, 1 star  Positive
., 1 star ,"My companion got deathly ill from food poisoning from a cheeseburger at the restaurant on July 17, 2019. Otherwise the service and food presentation were very nice — however when something like that happens it turns you off a place pretty much for life.",Positive, 1 star  Positive
