Name,Rating,Comments,Sentiment,Contradictions
M.Aaqib Nawaz, 1 star ,"Very very below expectation, u can only enjoy if u can eat any thing meant to be edible.",Positive, 1 star  Positive
Asad Ullah, 5 stars ,"Mdcat compaign 2019 all dear of jips University, then lunch there. But extra sitting payment bad this place",Negative, 5 stars  Negative
Muhammad Asif Buzmi, 1 star ,Savour foods lahore is comfortable place....there is division of family and friends.... Fiod served here is tasty and manageable...ie not too costly...,Positive, 1 star  Positive
